,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,Abu Dhabi,United Arab Emirates,
1,Abu Dhabi Full-Day Sightseeing Tour from Dubai,Bus Tours,6+ hours,$40.00,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
2,"Evening Desert Safari With BBQ Dinner, Camel Ride and Sand Boarding",Shore Excursions,6 hours,$83.00,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
3,,Cold feet?,,,,,,Abu Dhabi,United Arab Emirates,
4,Dubai to Abu Dhabi Grand Mosque & Qasr Al Watan Palace by OceanAir™️,Bus Tours,8–9 hours,$109.00,per adult,Free cancellation,By OceanAir Travels,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d21174054-Reviews-OceanAir_Travels-Dubai_Emirate_of_Dubai.html
5,Abu Dhabi Private City Tour,Bus Tours,5 hours,$200.00,per group,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
6,"Abu Dhabi City Tour - Grand Mosque, Emirates Palace With Louvre Museum Entrance",Bus Tours,8–9 hours,$75.00,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
7,Abu Dhabi City Tour Including Ferrari World Tickets Guided Tour from Dubai,Car Tours,6+ hours,$224.00,per adult,Free cancellation,By Travtur,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d12070965-Reviews-Travtur-Dubai_Emirate_of_Dubai.html
8,Abu Dhabi Half Day Desert Safari,Adventure Tours,6 hours,$69.00,per adult,Free cancellation,By Extreme Arabia,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g2630227-d15329153-Reviews-Extreme_Arabia-Emirate_of_Abu_Dhabi.html
9,Abu Dhabi Small-Group Day Trip from Dubai by OceanAir™️,Bus Tours,8–9 hours,$109.00,per adult,Free cancellation,By Private Dubai Tours,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d10431596-Reviews-Private_Dubai_Tours-Dubai_Emirate_of_Dubai.html
10,Half-Day Desert Safari from Abu Dhabi,Ports of Call Tours,6 hours,$79.00,per adult,Free cancellation,By Desert Rose Tourism,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g294013-d4354316-Reviews-Desert_Rose_Tourism-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
11,Louvre Museum Abu Dhabi and Grand Mosque Tour from Dubai,Bus Tours,8–9 hours,$109.00,per adult,Free cancellation,By Private Dubai Tours,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d10431596-Reviews-Private_Dubai_Tours-Dubai_Emirate_of_Dubai.html
12,Morning Desert Safari with Quad Bike Tour Abu Dhabi,Adventure Tours,4–5 hours,$99.60,per adult,Free cancellation,By Trip Arabia Tours & Safari,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g294013-d17695157-Reviews-Trip_Arabia_Tours_Safari-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
13,Private Abu Dhabi Tour From Dubai,Bus Tours,6+ hours,$75.00,per adult,Free cancellation,By My Tours UAE - Day Tours,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d2549263-Reviews-My_Tours_UAE_Day_Tours-Dubai_Emirate_of_Dubai.html
14,"Abu Dhabi Sightseeing Tour: Sheikh Zayed Mosque, Heritage Village & Dates Market",Bus Tours,4 hours,$52.00,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
15,Premium Abu Dhabi Half Day Tour from Dubai,Private and Luxury,5 hours,$100.00,per adult,Free cancellation,By Desert Thrill,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d15611150-Reviews-Desert_Thrill-Dubai_Emirate_of_Dubai.html
16,Ferrari World Abu Dhabi Admission Ticket,Parks,9–11 hours,$97.00,per adult,Free cancellation,By Royal Smart Tourism,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d19980932-Reviews-Royal_Smart_Tourism-Dubai_Emirate_of_Dubai.html
17,Abu Dhabi City Tour in 4x4 Private Vehicle,Full-day Tours,8–9 hours,$270.29,per group,Free cancellation,By Your Choice Tourism,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d16815145-Reviews-Your_Choice_Tourism-Dubai_Emirate_of_Dubai.html
18,Abu Dhabi Full-Day Small-Group Tour With Lunch From Dubai,Bus Tours,6+ hours,$63.00,per adult,Free cancellation,By Travel Dubai,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d21104669-Reviews-Travel_Dubai-Dubai_Emirate_of_Dubai.html
19,Abu Dhabi City Tour With Presidential Palace Entrance - Guided Tour,Bus Tours,6+ hours,$118.00,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
20,"Go City: Dubai Explorer Pass - Choose 3, 4, 5 or 7 Attractions",Skyscrapers & Towers,3+ days,$174.00,per adult,,By Go City | Dubai,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d19512780-Reviews-Go_City_Dubai-Dubai_Emirate_of_Dubai.html
21,Sheikh Zayed Mosque Half Day Tour from Dubai by OceanAir™️,Bus Tours,5–6 hours,$63.00,per adult,Free cancellation,By OceanAir Travels,Abu Dhabi,United Arab Emirates,https://www.tripadvisor.com/Attraction_Review-g295424-d21174054-Reviews-OceanAir_Travels-Dubai_Emirate_of_Dubai.html
