,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Marrakech,Morocco,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5f/df/c1/caption.jpg?w=500&h=400&s=1,Atlas Mountains and Three Valleys & Waterfalls - Camel ride Day Trip Marrakech,Private and Luxury,6+ hours,$36.20,per adult,Free cancellation,By Amzil Marrakech Tickets,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d7248616-Reviews-Amzil_Marrakech_Tickets-Marrakech_Marrakech_Safi.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1c/0a/de/caption.jpg?w=500&h=400&s=1,Marrakech to Fez via Merzouga Desert 3-Days Morocco Sahara Tour,Adventure Tours,3 days,$203.65,per adult,Free cancellation,By Marrakech City Life,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d15521258-Reviews-Marrakech_City_Life-Marrakech_Marrakech_Safi.html
3,,,Cold feet?,,,,,,Marrakech,Morocco,
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/f3/3e/caption.jpg?w=500&h=400&s=1,Hot Air Balloon Flight over Marrakech with Traditional Breakfast,Adventure Tours,4–5 hours,$201.38,per adult,Free cancellation,By Marrakech Dream Ballooning,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d15227697-Reviews-Marrakech_Dream_Ballooning-Marrakech_Marrakech_Safi.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/2a/9e/caption.jpg?w=500&h=400&s=1,3 Days Desert Tour From Marrakech To Merzouga Dunes & Camel Trek,Adventure Tours,3 days,$113.14,per adult,Free cancellation,By Morocco Global Adventures,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d13447459-Reviews-Morocco_Global_Adventures-Marrakech_Marrakech_Safi.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a2/93/a6/caption.jpg?w=500&h=400&s=1,Desert Agafay and Atlas Mountains & Camel ride Day Trip From Marrakech,Private and Luxury,6 hours,$33.94,per adult,Free cancellation,By Amzil Marrakech Tickets,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d7248616-Reviews-Amzil_Marrakech_Tickets-Marrakech_Marrakech_Safi.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/e4/8a/caption.jpg?w=500&h=400&s=1,Atlas Mountains Hot Air Balloon Ride from Marrakech with Berber Breakfast and Desert Camel Experience,Day Trips,5 hours,$209.30,per adult,Free cancellation,By Marrakech By Air,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d1598688-Reviews-Marrakech_By_Air-Marrakech_Marrakech_Safi.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/cd/6b/caption.jpg?w=500&h=400&s=1,3-Day Sahara Desert To Merzouga From Marrakech,Adventure Tours,3 days,$113.14,per adult,Free cancellation,By Marrakesh Travel Services,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d8514036-Reviews-Marrakesh_Travel_Services-Marrakech_Marrakech_Safi.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/e8/ea/caption.jpg?w=500&h=400&s=1,Moroccan Cooking Class Marrakech with Chef Khmisa,Cooking Classes,4 hours,$42.99,per adult,Free cancellation,By Cooking Class with Chef Khmisa,Marrakech,Morocco,https://www.tripadvisor.com/Attraction_Review-g293734-d15554488-Reviews-Cooking_Class_with_Chef_Khmisa-Marrakech_Marrakech_Safi.html
