,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,Paris,Frence,
1,Bateaux Parisiens Seine River Gourmet Dinner & Sightseeing Cruise,Sunset Cruises,2–3 hours,$122.19,per adult,Free cancellation,By Bateaux Parisiens,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html
2,Paris Moulin Rouge Cabaret Show with Champagne Only or Dinner,Dinner and Show,2 hours,$101.82,per adult,,By Moulin Rouge,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d189283-Reviews-Moulin_Rouge-Paris_Ile_de_France.html
3,Louvre Museum Skip-the-Line Guided Tour with Venus de Milo & Mona Lisa,Private and Luxury,3 hours,$63.36,per adult,Free cancellation,By City Wonders,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d1784427-Reviews-City_Wonders-Paris_Ile_de_France.html
4,"Normandy D-Day Small-Group Day Trip with Omaha Beach, Cemetery & Cider Tasting",Bus Tours,12–13 hours,$237.59,per adult,Free cancellation,By Blue Fox Travel - Blue Bike Tours,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d2626587-Reviews-Blue_Fox_Travel_Blue_Bike_Tours-Paris_Ile_de_France.html
5,Eiffel Tower Skip the Line and Small Group Tour with Summit Access by elevator,Skyscrapers & Towers,1–2 hours,$84.85,per adult,,By Mon Petit Paris,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d20264313-Reviews-Mon_Petit_Paris-Paris_Ile_de_France.html
6,Bateaux Parisiens Seine River Gourmet Lunch & Sightseeing Cruise,Lunch Cruises,2 hours,$82.59,per adult,Free cancellation,By Bateaux Parisiens,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html
7,Louvre Museum Skip-the-line Access Private Guided Tour,Private and Luxury,2–3 hours,$130.72,per adult,Free cancellation,By Babylon Tours Paris,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d3205960-Reviews-Babylon_Tours_Paris-Paris_Ile_de_France.html
8,Versailles Palace Guided Tour with Gardens & Fountains Show from Paris,Bus Tours,5 hours,$113.83,per adult,Free cancellation,By Paris City Vision,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d667302-Reviews-Paris_City_Vision-Paris_Ile_de_France.html
9,Big Bus Paris Hop-On Hop-Off Tour,Bus Tours,2 hours,$39.71,per adult,Free cancellation,By Big Bus Paris,Paris,Frence,https://www.tripadvisor.com/Attraction_Review-g187147-d1008070-Reviews-Big_Bus_Paris-Paris_Ile_de_France.html
